Year,Flow,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,out,97103,53714,156969,66074,714773,151895,84932,21872,442052,225062,46619,48229,263289,137828,75104,81566,90861,175109,34361,163105,156814,177373,100960,84867,137093,31923,46859,103482,46918,191436,62682,463112,210552,21147,214739,90732,103693,217512,38878,109507,24791,140362,377979,83475,23413,225938,173344,45369,102240,26931
2005,in,111423,30962,286351,94945,440871,167077,76635,34454,619689,291100,47543,68123,207032,127746,80167,78283,99472,71499,36624,140468,105781,121944,99593,74063,142492,35615,41970,129051,47158,169547,76015,222626,259949,18594,171192,106223,144932,218777,23748,138834,25064,175949,494692,78331,19728,234351,211255,46409,97142,26046
2006,out,101626,63115,193369,75886,742794,163184,109068,29131,534469,233050,72210,58542,320637,150355,76287,86916,98807,277156,35967,175869,176345,199372,119353,105570,160565,31821,57459,109488,41728,241884,65110,500294,220104,25155,229075,100655,116315,222313,34782,120547,28398,153002,459580,81501,24020,246523,183692,41620,112846,29846
2006,in,137526,37672,286719,106377,520061,194390,85786,31604,597681,374312,60563,75401,233314,161010,86759,107831,122080,95410,37670,158433,140212,138616,111250,82059,162148,36595,54175,150656,43409,151947,71674,266300,341436,26260,196037,113604,148942,243927,32500,162187,27681,186264,631686,101010,25683,275398,227699,49963,100229,27255
2007,out,112511,63013,189092,83106,662384,175436,97698,29817,529540,259761,66216,48694,296778,150988,70460,92441,103497,117028,34984,178389,174354,209355,115369,86583,154820,29754,53519,111271,46516,212920,72493,438289,220744,21057,212738,90415,106756,241058,36101,101174,23349,162576,419152,72627,24913,242152,166584,44504,119115,26754
2007,in,137795,36367,262174,89076,489205,197318,78224,40222,492206,334092,51621,66226,231135,149454,82373,86303,123148,127554,34362,129378,132812,131305,103019,80834,165316,35838,51867,128454,50882,145624,69122,265346,337150,22399,187298,121120,125239,260220,33776,171354,27295,186126,550825,103744,23062,265298,202125,51958,102243,28961
2008,out,100546,85146,187213,77943,583193,165341,95981,30562,503984,256416,56001,59037,299941,132371,73095,89092,91788,108460,31723,163499,151063,202808,115656,70254,151453,36152,51732,103526,41040,206871,68077,407889,233285,24344,217859,96673,110643,226366,33981,115335,25707,151631,406268,73941,24177,235888,169909,49723,110604,30860
2008,in,120858,40039,241122,88544,464978,196258,78579,41460,487588,287341,55491,64791,221114,160590,79246,100310,107347,110280,33418,135331,146119,124925,96847,72948,155600,44283,49815,119779,45935,144543,68427,256489,321058,26746,181080,122134,119647,236612,28128,149552,23671,179842,535641,101573,21974,256930,204371,53182,105191,27320
2009,out,106478,71328,196407,65663,542941,154124,92573,28564,437390,250915,64272,58805,276125,143979,69837,88848,94244,90189,31837,148709,137790,206084,112618,74014,138907,30219,43579,111542,48299,186368,65933,375006,227050,21343,205876,89947,101003,202529,31373,115742,25892,159258,377931,82140,23851,242643,178934,46829,99725,30195
2009,in,123976,40379,225100,85553,456731,181584,76102,34797,459544,277339,53056,57710,204380,132380,74011,102531,121084,90521,24672,153088,143833,117404,90806,67098,149808,31015,53038,108352,37940,129846,64126,268091,280021,29970,169740,117763,126892,226595,33067,145241,29631,167468,505589,90090,19238,261179,191812,49620,95148,30889
2010,out,98861,94101,176106,64109,569783,139964,88434,30055,426753,243395,49218,53122,276964,129459,66530,90598,92905,88131,32133,146363,142776,178081,104678,68363,147783,35870,43469,109409,38262,192048,50377,359287,205128,24352,187415,90616,99584,207432,24699,117189,27915,142544,410461,75541,18181,224087,165878,48489,110849,28186
2010,in,108512,36312,222725,78973,441066,185887,77002,30327,481779,247751,53581,55494,202912,127172,72504,95059,118296,97625,27703,141282,138623,115678,89566,72321,144748,35630,51290,102677,39069,126938,73549,267444,261565,29925,171661,106511,116483,233959,31913,152403,25777,159384,486098,77642,22520,248914,191541,39129,92967,28046
2011,out,106793,88715,211773,77145,558546,160171,90314,26503,435948,247955,61568,57763,267611,143100,74275,94174,98959,86593,33729,150912,143821,185397,102844,68514,138292,31166,52730,115705,43132,215334,61431,375487,223431,26278,205743,81009,109744,213538,31015,121069,29279,153822,403756,73136,17727,221252,190168,45836,104424,31991
2011,in,117327,34944,222488,69845,465188,201826,70895,33758,497706,270713,57320,60336,214764,127874,70405,83512,109830,98943,33579,135487,139154,138902,100662,68096,149224,33553,52041,109362,36932,139413,61918,278507,264156,32510,191191,108687,127557,232890,26769,157055,27506,170662,512450,85085,20436,250276,208149,49768,109316,30651
2012,out,109131,82821,205940,64932,561987,160853,86405,25071,426620,251183,61471,55145,277158,144128,73192,92970,102892,95673,38380,143544,156632,174789,115553,66903,142417,33832,48644,98840,38499,217751,63805,402779,237678,23959,198551,102572,108025,235662,29863,127268,22534,163266,400714,82049,19789,229003,179981,47132,97003,32013
2012,in,104438,33059,232421,76743,490442,204572,80023,34746,536368,276114,54915,59167,207689,133092,75609,87828,112533,90619,27491,133770,142198,133707,100732,73403,162786,37690,43266,123817,50383,129383,54668,266117,271348,38143,195406,108821,118229,212579,33133,156270,26051,176918,506563,87870,24315,239689,214721,46831,99177,31149
2013,out,96903,99352,183099,76963,579252,166011,90003,24435,422688,268649,60098,63788,303891,135257,77443,93983,98667,98853,28840,174079,153967,166374,119221,72430,138334,31546,47733,100922,45978,200146,75186,396670,245837,29808,201200,100406,111486,245118,34969,128220,28915,158937,408352,91817,21773,228606,190894,48236,110193,28147
2013,in,104092,34360,235916,70291,481654,206465,87984,36498,527644,277908,57850,61510,222570,132192,75650,89735,103004,91496,36780,140680,134305,143322,104638,68588,159103,40023,45805,126497,44776,135984,56737,269000,273890,38792,185454,109195,143453,222679,34108,165630,30016,185601,546599,97869,23011,256959,207594,51396,100788,27584
2014,out,111404,92545,203624,65092,588102,172856,94165,26889,435771,245125,60456,56658,321700,136344,76864,92914,98121,85212,31909,163453,152161,173003,120905,72472,154031,35570,43108,103006,41237,206508,70068,420512,247268,27641,206720,102537,102981,249533,37751,121135,31154,159628,433796,79252,20424,253847,197111,48591,114433,33210
2014,in,107796,37842,249545,74528,509749,217405,82534,31808,544604,273513,57244,64633,208398,139760,79115,96467,104627,97431,38911,139366,144933,149580,106713,73871,152942,37561,52200,129775,41311,127946,68865,255248,284809,39040,196072,111130,136737,231253,32621,171320,28198,181383,537306,89839,22635,249966,219887,46879,117509,25992
2015,out,100450,40317,184109,76470,639591,182512,102051,30629,442589,248289,60407,55880,336807,140868,80919,99619,108751,99775,36795,167077,171917,179029,126926,81020,155388,32620,52536,99341,41838,225576,68375,443722,235705,31867,212209,98621,109083,260888,29684,132749,25760,176088,444029,83894,22018,260565,178394,51475,108729,31537
2015,in,114355,34696,252951,81398,510569,226313,76618,44216,583426,282673,53583,73809,208778,147458,85825,91215,106707,93229,30003,146843,131429,142194,108194,69351,158747,42760,52937,135905,53155,143229,55753,251992,307211,42618,201982,110513,140373,231196,38338,170104,26962,195506,551609,97175,20946,266746,230500,41618,105862,35918
